Time,Strain_Energy,Surface_Energy,Impactor_KE,Domain_KE,Imp_disp,dom_hit_disp
1.78,242.35459617085093,0.6658594417958463,7659.833305030338,103.6581629003712,5.6410427215639496e-05,5.201240366202487e-05
1.79,242.75288014384483,0.6751683820539173,7656.852994453257,104.37769904234774,5.6723076760961444e-05,5.213062620837984e-05
1.8,243.22071657629039,0.6843144789068754,7653.679173355419,105.12650420566298,5.703566349830781e-05,5.225119916268297e-05
1.81,243.814617231727,0.6933849429858505,7650.313816881132,105.92007519068586,5.734818344771188e-05,5.238062253465735e-05
1.8199999999999998,244.58388663213978,0.7021864648208451,7646.7660530965095,106.78720277327334,5.76606327388647e-05,5.252517978007218e-05
1.83,245.56955836222792,0.710599845778689,7643.052201388134,107.76515566154713,5.797300775955029e-05,5.269069298794165e-05
1.8399999999999999,246.80439567832838,0.7185300417399348,7639.1954149252915,108.89260901644688,5.8285305301150173e-05,5.2882286064980995e-05
1.85,248.31326277497038,0.7259820297139965,7635.224911694227,110.20137867369533,5.859752269287894e-05,5.3104168680755024e-05
1.8599999999999999,250.11369132191695,0.7332329616870903,7631.174816501925,111.70833775370299,5.890965791628239e-05,5.335945343055375e-05
1.87,252.21663629815453,0.7407237028118612,7627.082677008477,113.40897240100752,5.922170969252642e-05,5.3650017290734535e-05
1.88,254.62692376567355,0.7490523845696638,7622.987744383794,115.27385464926692,5.9533677536538776e-05,5.397641607239148e-05
1.8900000000000001,257.34440156254993,0.7578006532923349,7618.929135410817,117.24884149823659,5.984556177419139e-05,5.4337857493733536e-05
1.9,260.36222718993764,0.7667978887607723,7614.94400445499,119.25917373003631,6.015736352133676e-05,5.4732234417992224e-05
1.91,263.6660889798365,0.7760332199506702,7611.065852524518,121.21695953359637,6.0469084626128045e-05,5.515621629331299e-05
1.9200000000000002,267.2333186800568,0.7854874556997778,7607.323083855095,123.03092839913826,6.0780727578651716e-05,5.56053929652683e-05
1.9300000000000002,271.03192242305727,0.7951391789775254,7603.737899962392,124.61696121744099,6.109229539385066e-05,5.607446189528011e-05
1.9400000000000002,275.020007636272,0.8049641009685045,7600.325582703919,125.90780513347035,6.140379147549138e-05,5.6557447573206084e-05
1.95,279.1458730667403,0.8149235920164615,7597.094183976086,126.86057725413636,6.171521946930905e-05,5.70479406664308e-05
1.96,283.3486390241989,0.8252770513270664,7594.0446017371605,127.46108581233617,6.202658311385583e-05,5.753934429478359e-05
1.9700000000000002,287.5606601420566,0.8359557135279989,7591.17098900862,127.72454732519384,6.233788609639233e-05,5.802511568359027e-05
1.9800000000000002,291.7076095736248,0.8492786432274514,7588.461425486159,127.69286047211577,6.264913192019001e-05,5.849899318395113e-05
1.99,295.7170939996197,0.864578358983057,7585.898756822911,127.4290251261105,6.296032378771617e-05,5.895520165802723e-05
2.0,299.5208394898566,0.8795904251183828,7583.461514736566,127.0096238523135,6.327146450217954e-05,5.938862919705409e-05
2.0100000000000002,303.0554245371145,0.8941400624377072,7581.124840883511,126.51649833825726,6.35825563883417e-05,5.9794973508401866e-05
2.02,306.2678311506289,0.9080634484261244,7578.861349312308,126.02861493169156,6.389360123189807e-05,6.017085793969596e-05
2.0300000000000002,309.1185888908593,0.9212614759390375,7576.641897174716,125.6149435935306,6.420460023564501e-05,6.051391776313836e-05
2.04,311.58257723149103,0.935444092105221,7574.436262427245,125.32903074860415,6.45155539904762e-05,6.082285844162992e-05
2.05,313.6554529944053,0.9487446638577667,7572.213752279788,125.20563258010243,6.482646245936053e-05,6.109748775134132e-05
2.06,315.3490357456734,0.961109284355023,7569.9437843166015,125.25963047174476,6.513732497330899e-05,6.133872221158147e-05
2.0700000000000003,316.6921291395404,0.9726260437487884,7567.59649590001,125.48725386080244,6.544814023919814e-05,6.154856834294682e-05
2.08,317.7290213656332,0.9832552214059448,7565.143428284715,125.86939158696974,6.57589063607405e-05,6.173007738732161e-05
2.09,318.51667024293505,0.9929838312437618,7562.558308706654,126.37663713713937,6.606962087437903e-05,6.188727144012473e-05
2.1,319.12133574653797,1.0018661787693135,7559.817940537163,126.97550460902434,6.638028080236103e-05,6.202503891751865e-05
2.1100000000000003,319.614245496323,1.0106821062695563,7556.903170844112,127.63506436873263,6.669088272519657e-05,6.21489978220726e-05
2.12,320.06929875348055,1.0193537764646357,7553.799876580308,128.33308912154763,6.700142287451399e-05,6.226532671754697e-05
2.13,320.5585344997713,1.0279724301746713,7550.49989021677,129.06075399036152,6.731189724612117e-05,6.23805652629324e-05
2.1399999999999997,321.1494122184282,1.0365140846730179,7547.001775142414,129.82502942204272,6.762230173104753e-05,6.250138884384475e-05
2.1500000000000004,321.9023954354928,1.044976927743271,7543.311355505701,130.64816276823979,6.793263226070142e-05,6.26343645200332e-05
2.16,322.86951891417766,1.0533627369391292,7539.441915557355,131.5640729771408,6.824288496000053e-05,6.278569802686465e-05
2.17,324.0936388633075,1.0617823789477223,7535.4140065040565,132.6120169261403,6.855305630110652e-05,6.296098358897826e-05
2.1799999999999997,325.60851365282167,1.0703796240187216,7531.254832008462,133.82840915387723,6.886314324904779e-05,6.316496957213188e-05
2.1900000000000004,327.4394205674476,1.079153077455527,7526.997220362408,135.23812367093706,6.917314339063321e-05,6.34013530363719e-05
2.2,329.60355723024304,1.0881330148211874,7522.678226255674,136.84683703688282,6.948305503822247e-05,6.36726155136863e-05
